Dataset,k_lof,Group,N,CF_SHAP_BDS,INST_SHAP_BDS,DenSHAP_BDS,Delta_vs_CF,Delta_vs_Inst,Model,Test_AUC
HELOC,20,Easy,928,0.9851,0.9887,0.9777,-0.75,-1.11,xgboost,
HELOC,20,Medium,339,0.9636,0.9676,0.9728,0.96,0.54,xgboost,
HELOC,20,Hard,708,0.9385,0.9375,0.9641,2.72,2.83,xgboost,
WINE,20,Easy,290,0.9782,0.9713,0.9801,0.19,0.91,xgboost,
WINE,20,Medium,93,0.9759,0.9771,0.9799,0.41,0.28,xgboost,
WINE,20,Hard,236,0.9652,0.9781,0.9769,1.21,-0.12,xgboost,
LENDINGCLUB,20,Easy,1682,0.9803,0.9801,0.9786,-0.17,-0.15,xgboost,
LENDINGCLUB,20,Medium,723,0.9779,0.9782,0.9782,0.03,0.0,xgboost,
LENDINGCLUB,20,Hard,1595,0.9651,0.9629,0.9755,1.08,1.31,xgboost,
HELOC,20,Easy,928,0.9851,0.9887,0.9779,-0.73,-1.1,rf,0.802
HELOC,20,Medium,339,0.9636,0.9676,0.9719,0.86,0.44,rf,0.802
HELOC,20,Hard,708,0.939,0.9375,0.9645,2.72,2.88,rf,0.802
WINE,20,Easy,371,0.9789,0.9896,0.9808,0.2,-0.89,rf,0.9095
WINE,20,Medium,139,0.9777,0.9768,0.9787,0.11,0.19,rf,0.9095
WINE,20,Hard,320,0.9611,0.9525,0.9771,1.66,2.58,rf,0.9095
LENDINGCLUB,20,Easy,1682,0.9802,0.9801,0.9782,-0.21,-0.19,rf,0.7164
LENDINGCLUB,20,Medium,723,0.978,0.9782,0.9785,0.05,0.04,rf,0.7164
LENDINGCLUB,20,Hard,1595,0.9653,0.9631,0.9748,0.98,1.22,rf,0.7164
